Example,Structure
Have you ever noticed how new plumbers get more clients and callbacks even though their business could be better? Here's why that's happening…,Don't you ever have how (Business/Niche) get more (ideal outcome) a pessary that yours could be better? He's Here Why It's Happening…
This is how the auto industry tricks you into buying their upgrades.,This is how (your niche or business) Tricks you into buying (ProductOr or Service).
"Here is a tip from a professional lawyer, which can save you a lot of money on legal fees.",Here's Some Advice From A Professional (Business/Position) That Can Save You A Lot Of (Problem You Have).
Listen if you want to every text message you have sent from your cell phone provider.,Listen If You Want (Controversial/Issue) from (Niche or Business).
"Most marketers won't tell you this, because they are too busy making money from it. But let me give you a look.","Most (Niche Customers) Won't Tell You This, Because They're Too Busy Making Money Cont. But Let Me Give You A Look."
The #1 thing I tell every plumber who wants more clients is this!,The #1 Thing I Tell Every (Client Title/Niche) (Ideal Outcome) is This!
Did you know that makeup artists are bullied more than any other professional?,Did you know that (industry/niche) earns (the opposite of what most people do) more than any other profession?
"If you want to know how annoying they think you are, watch until the end!","If You Want to Know HOW (Inverted Belief) You Think You Are, Look to the End!"
3 free apps to create great YouTube thumbnails.,(Number) Free (Tool / Website / App) To Create Excellent (Desired Result)
"How I got 300 paying clients in advance, in 72 hours.",How I got (Solution OR ideal result) in (Time Frame).
3 Reasons Why Getting a Lawyer Won't Work!,3 Reasons Why (Wrong Solution) No Functions
Here's something really important that every new business owner should have been taught in school…,Here's Something Really MATTERS ABOUT EVERY (BUSINESS/NICHE) SHOULD HAVE BEEN Taught in School…
2 sales tricks you didn't know were being used on you.,(Number) (Business / Niche) Tricks you didn't know were being used on you.
This is why your Instagram story strategy isn't working.,That's why your (Product or Problem) has no functions.
The Top 3 Sites I Use to Save Time as a Leasing Agent.,Top Sites (Number) I use to save time like (business/niche/professional title).
Please tell me I'm not the only person who just figured this out as a sales rep. I've been doing sales for 15 years and I'm just thinking about this now.,Please tell me I'm not the only person who just considered this as a (professional title/occupation). He Been Doing (adjective related to title/professional occupation) for (time frame) and I am now resolving this now.
Do you want to double your sales on LinkedIn? This is how you do it.,Do you want to Duplicate Your (desired result) in (Platform/Business)? That's how you do it.
"Hello guys, today I am going to talk about 5 applications that all filmmakers need for their videos. Let us begin.","Hello Guys, Today I'm Going to Talk About (Number) (Tool/Website/Application) Everyone (Niche/Niche/Professional Title) Need for Their (Niche Related Product). Let us begin."
This is how you will begin to build generational wealth for your family using life insurance.,This is how you will begin to build (desired outcome/common problems) for your (something personal to the Viewer) Using (Product or Service Related to the Niche).
"If you work with data, this will make a lot of sense to you.","If you are working with (Subject or Special Topic Rel -Rel -Rel -related with niche), this will make a lot of sense to you."
Here's more on how to reduce your inflammation naturally from a nutritionist.,Here's More on HOW to Reduce Your (Common Problem) (Preferred Method) from a (Business/Niche/Professional Degree).
"How much money do I make as a video game designer? Let's talk about it because salary transparency is very important. Hello, my name is Victoria, I work in post-production in the television industry and live in New York City.","How Much Money Do I Make as a (Business Title/Niche/Professional)? Let's talk about it because salary transparency is very important. Hello, my name is (your name), I work at (Job Title) in (Industry) and I live in (Location)."
"Here's the first episode of I Heting Mistakes, Expensive, so you don't have to. Regarding the publication of a children's book.","Here's The First Episode of ""I Made Mistakes"", Caros, so you don't have to. With respect to (specific subject or topic related to niche)."
"If you have ever wanted to train or correct behavior, save this video. I will teach you the 3 tactics that most people will mention when you try to train them.",Video of Gente Este. I Will Teach You The (Number) (Tactical Code / Strategy / Trick) That Most People Will Mention When They Try (The Common Problem They Have).
Why I don't use Linktree and you shouldn't either!,Why I Don't Use (Website / Tool / App) and Neither Do You!
I bet you didn't know how easy it was to design a flyer in Microsoft Word...let me show you…,I bet you didn't know how easy it was to (action or niche related topic) on (website/tool/app). Let me teach you …
This is how you are losing money on your Facebook ads.,This is the way you are (Real problem that you desperately want to avoid) on your (platform and/or service that they are doing this on).
"I'm a facial plastic surgeon, and here are some cheap hair growth hacks that make me zero dollars.",Soy a (Job Title/Occupation/Authority Based on Authority). And Here Are Some Cheap Hacks for (the problem you are trying to solve for yourself which is a quick and easy win) that make me zero dollars.
This is for the person who has zero time to make video content for their business.,"THIS IS FOR THE PERPET WHO HAS ZERO TIME FOR (something they know they SHOULD DO for their business, but they put it off or make excuses for it) for their business."
"This is how you work smarter, not harder when you come up with new content ideas…","This is how you work Smarter, not Harder when you come up with new (topic or topic related to the niche that is a real frustration or pain point)…"
Here is a way to get easy access to people to get a job in 2022. Step 1…,Here's a Way to Get Easy Access to People (Problem Facing/Ideal Outcome) IN 2022. STEP 1…
This is a script to use when your partner is trying to have a conversation with you and it is not a good time for you to have that conversation.,THIS IS A SCRIPT TO USE WHEN (Person/Customer/Ideal Client) You Are Trying To (The Common Situation You Are Trying To Avoid or Don't Know HOW TO Do It In A Way Will Lead To The Desired Result).
"4 therapist mistakes I have made with clients. I wish I could recover, and so you should call your own therapist.","(NUMBER) (Business Title/Niche/Professional) Mistakes I Have Made With Clients. You Wish You Could Recover, And You Should Call Your Own (Business/Niche/Professional Title) For."
"If I were a brand, with a marketing budget of $10,000 per month, I would highly consider this strategy. And no one is doing these things right now.","If I were a (Occupation, Gender, Business Title), With One (Number) Budget Per Month (Niche), I Would Strongly Consider Strategy. AND NO ONE IS DOING THESE THINGS RIGHT NOW."
"Only do this if you want to grow your social media faster, if you don't, keep scrolling.","Only Do This If You Want To GROW YOUR (Business/Niche/Common Problem), If You Don't, Keep Scrolling."
This is getting scary and could be really bad for all real estate agents.,THIS IS SCARY AND COULD BE REALLY BAD FOR EVERYONE (OCCUPANCY/NICHE/INDUSTRY). DeJame Explain.
Here are 5 excuses you can use to get out of something that doesn't have work hours.,Here Are (Number) Excuses You Can Use (Objection Towards a Problem of Problems).
Here's a brand secret you need to know.,Here's a Secret (Business/Niche/Website/Application/Occupation) You Need to Know.
This is how I would blow up my Instagram if I were a small product-based business.,This is how I would exploit my (platform/website/occupation/social media platform) if I were a product-based Small Business.
This is how you stretch before exercising.,This is how I LIKE YOU (COMMON PRACTICE / Strategy / Technique) Before You (Niche-Special Action Related to the Niche)
This is how Airbnb pays for my $1 million home in Los Angeles,"This is how (Brand or recognizable name) Pay for my (CostaSa Item or Amount) (Location, Configuration or Highly Desired Thing)."
Do you want to hear the 2 biggest problems I see as a dog trainer over and over again? #1 is .…,Do You Want to Hear The 2 MOST IMPORTANT Problems I SEE AS (Job Title/Occupation) OVER AND OVER? #1 is .…
"If you're an independent artist, it's your lucky day. I'm about to show you how to organically get your new song on 100+ Spotify playlists.",If you are a (Job Title / Occupation / Title) it is your day of sute. I am an organic Show You HOW Point (desired ideal outcome that speaks to a Common Pain Point).
Avoid these 2 things if you are trying to make money on Tiktok.,Avoid these 2 things if you are trying to (goal/desired result)
1 of the hardest but easiest questions you can get for a college interview is this…,1 of the hardest but easiest questions you can get for a (subject/topic/niche/pain point) is this…
"This is parenting advice, I really wish I knew when it was starting…",This is a tip (niche related/industry related) that I really wish I knew when I was starting out…
Avoid these 2 daily habits if you are trying to lose weight this month. What are they?,Avoid these 2 daily habits if you are trying to (a goal they want to achieve). What are they?
This is how I cured my heartbreak very easily!,This is how I (action that is a common pain point for most people) super easily!
Here's a new mental health podcast that I'm absolutely obsessed with!,Here's a new (website/tool/app/resource/profile/podcast/book) that I'm absolutely obsessed with!
This is how I plan 30 days of content in 30 minutes.,This is how I plan (time frame) of (content/resources/etc.) in (time).
If I had 1 quote to share with all the single moms out there...this is what it would be!,"If I had 1 quote to share with everyone (niche, demographic, business type) out there...this is what it would be!"
Here's a mindset hack I recently discovered that changed the game for me.,Here's a hack (topic/niche/subject) I recently discovered that changed the game for me.
So this is the best kept secret on how to get into all the influencer events!,So here's the best kept secret on how to (overcome a common pain point).
Here are some awesome Instagram tips!,Here are some awesome tips (niche related topic)!
Apparently Tiktok doesn't want me to show you this…,Apparently... (social platform/website) doesn't want me to show them this…
Podcasts that will only make your morning better!,"(Apps, websites, tools, YouTube channels, podcasts, books) that will only do your. (time of day) Better!"
Pssst...I'm not supposed to talk about this,Pssst...I'm not supposed to talk about this
"Stop what you're doing, because Tiktok went and changed some shit again! This is what you need to know.","Stop what you're doing, because (social platform) just went and changed some shit again! This is what you need to know."
Do you want a super easy way to create better Instagram Stories?,Do you want a super easy way to create better (Content Type / Platform / App / Resource / Product / Service)?
"Ok, then this website is going to do something for you! I almost don't want to share it with you.","Ok, so this (website/tool/app/platform) will be absolutely jaw-dropping! I almost don't want to share it with you."
"This has to be the absolute best update for YouTube in 2022 and honestly, I'm pumped!","This has to be the absolute best update for (social platform) in 2022 and honestly, I'm pumped!"
Here's the #1 thing to do when you get stuck on creating content that doesn't take that much time.,Here's the #1 thing to do when you get stuck (common pain point/frustration that prevents the viewer from getting the results they want).
You have no idea how important it is to be selfish when it comes to creating peace in your headspace.,You have no idea how important (underrated/underrated topic or subject related to your niche) when it comes to (goal they are trying to achieve).
"The Instagram Updates You Didn't Know Were Coming This Week, But You'll Definitely Want To Prepare, Part 45","(Platform/Website/App/Tools) Updates you didn't know were coming out this week, but you'll definitely want to prepare for (high number)."
"Of all the useful websites I have shared with you, these are my top 5 Top 5 I recommend the most!","Of all the useful (products/sites/books) I have shared with you, these are my Top 5 Absolute, I recommend it the most!"
Thanks Canva for this update. It's finally here people!,Thank you (social media platform/platform/website) for this update. It's finally here people!
Here are some Pinterest influencer tips you probably haven't heard before...,Here are some tips (industry/niche/social platform) you probably haven't heard before…
Things Every College Student Should Know... Part 23,Things Every (Job Title/Industry/Niche/Professional Title) Should Know About...Part (High Number)
Travel secret you need to know!,"(Niche, demographic, type of business) Secret you need to know!"
Do you want to see how I went from university to traveling the world?,I want to see how I (goal are trying to achieve/pursue).
Instagram Growth Ideas You Should Steal and How to Actually Do Them!,(Niche/Demographic/Business Type/Social Platform) Should You Steal and How to Really Do Them!
"Everyone asks me ""How am I always traveling?"" Well...that's how I do it.","Everyone asks me... ""How (a common problem for which I have a unique solution). Well... this is how I do it."
"If you give me 30 seconds, I will show you how I edit all my videos for Instagram and tiktok","Si me das 30 segundos, te mostraré cómo (problema común en nicho)"
Here's a reminder to stop romanticizing the people in your life.,Here's a reminder to stop (the commonly held belief in the niche)
In this video I will show you how to get rid of your social anxiety in 15 seconds or less.,In this video I will show you how to get rid of your (common problem) in 15 seconds or less.
I'm going to share an analogy that is actually going to change the way you do everything in life.,"I'm going to share a (strategy, book, quote) that will actually change the way you do everything in life."
"Things you're probably normalizing that aren't healthy. Fight, fast food and soft drinks",Things you're probably normalizing that aren't healthy. (Quick List Items)
Raise your hand if you hate waking up early.,Raise your hands if you hate this
This is what you do when you're super tired but you only have 8 minutes.,This is what you do when you are (stressful emotion/feeling) but you only have (x) minutes.
I bet $100 bucks you've never heard this before,I bet $100 dollars you've never heard this before.
My hands were so dry I had to do this to fix them,"My ___ were so ___, I had to do this to fix them"
I wasted $$ on expensive coffee until I found this!,I wasted $$ on expensive ___ until I found this!
Try this if you struggle with Cakey Foundation,Try this if you struggle with ___
The ugly truth about the fashion industry,The ugly truth about ___
#1 Mistake everyone makes when choosing a mortgage broker,#1 Mistake everyone makes when ___
#1 Mistake every new homeowner makes,#1 Error every ____ makes
3 mistakes you're probably making when you go to the gym,3 mistakes you are probably making in ___
Are you making this common mistake with your training routine?,Are you making this common mistake with ____?
3 mistakes destroying your reach on Instagram,3 mistakes destroying your____
-,5 mistakes everyone should avoid
This trick will save you hours preparing your food,This trick will save you hours in ____
Do you have trouble going to bed on time? I just found the perfect solution!,Do you have problems with ____? I just found the perfect solution!
Are you tired of greasy SPF moisturizers? Try this!,You are tired of ___? Try this!
This is why your moisturizer doesn't work,That's why your ____ doesn't work
This simple mistake could be costing you gains at the gym.,This simple mistake could be costing you ____
I hate the greasy feel of most SPF products so I started using Brand,I hate ____ so I started using ___
3 Tips to Get Rid of Flaky Skin,3 tips to get rid of ____
You need to see this if you have a hard time going to bed on time.,You need to see this if you struggle with ____
Stop throwing money at expensive SPF humilites,Stop wasting your money on expensive ____
What Most People Are Doing Wrong When It Comes To Their Skin Care Routine,What most people are doing wrong when it comes to their ____
Trying to find the right skincare for your face and want to cry?,Going through ____ and want to cry?
Does anyone else hate it when their SPF makes them break out?,¿Alguien más odia ____?
Why you're not getting clearer and how to fix it,Why you're not getting ____ and how to fix it
"If you are using a mineral SPF, abandon it immediately","If you are using ____, quit immediately"
Are you frustrated because you spend hours on skincare and see no improvement?,Are you frustrated because ____ and you don't get ____?
"Why you always struggle to have clear skin, no matter how hard you try",Why do you always have a hard time doing ____ no matter how hard you try?
Are you missing these products in your skincare routine?,Are you missing these ____ in your ____?
Do you want lighter skin but can't understand what you need to change?,Do you want to ____ but can't understand _____?
"Most people suck at creating good social videos, but if you follow this advice, I promise you won't.","Most people suck at ___ But if ____, I promise I won't."
Wondering how to overcome a plateau in the gym?,Wondering how to overcome ____?
Do you wish you didn't have to plan your meals every week? Follow this easy plan!,I wish you didn't have to ___? Fair _____
This time last year I was struggling with acne. Now look at my skin!,This time last year there was ____. Now I _____
The Real Reason Your Skin Care Routine Isn't Working,The real reason why your ____ doesn't work
"Most people fail when they try to go viral on social media, but here's how to succeed",Most people fail when ____ but here's how to succeed
Most skin problems are gut health problems in disguise,Most ____ problems are _____ problems in disguise
Stop scrolling if you want,Stop scrolling if you want to _____
"3 tips to get silkier, shinier and thicker hair",3 tips to get ____
The #1 Trick for the Perfect Winged Eyeliner,Trick #1 for the perfect ____
How to get the silky hair of your dreams,How to get the _____ of your dreams
If you want silkier shinier hair then you need to try this,"If you want ____, you need to try this"
"If you want a silkier, shinier hair look, then you have to try this shampoo.","If you want ____, then you have to try ____"
Want to up your mascara game?,Do you want to improve your ____ game?
There's no way I'm going back to my old razors,There's no way I'm going back to my old ___
This shampoo has gone viral for a reason,This ___ has gone viral for a reason
Check this out before your next 1 on 1 with your manager!,"Look, I'm before you next ____"
,Stop doing this if you want to ____
The 5-star sneakers you've been waiting for,The 5 stars ____ you've been waiting for
I don't pay attention to trends and neither should you,I don't ____ and neither should you
"I was really nervous about moving to a new city, but this app makes it so easy to make friends","I was really nervous about _____, but _____"
,I never thought I would find ____ that would help me ___
,The best way to move the needle with _____
,"To get ____, do the opposite of what people tell you"
,This is the skill you need to develop if you want to ____
,Here is my cheat sheet to get ____
,Here he explained ____ even if _____
,"Getting ____ is not really about ____, it's about _____"
,Getting ____ is so easy if ____
,Who more wants ____ than doesn't _____?
,In the power ___? Try ___
,Do you want to know the secret to obtaining ____?
,I just found the perfect ____ that helps with ____
,The best thing I did to get ___ was ____
,"I really didn't think I could _____, but then _____"
,I wish I had found this sooner!
,Are you still using ___?
,Call me crazy but I just bought this
,Are you still using your old ____?
,"When I tell you, this product changed my life…"
,Things you didn't know you needed
,I've been looking at these for so long and I've decided to treat myself
,Trying to figure out how I survived so long without ____
,The best ___ I've ever used!
,Best ___ products I've tried that really work
,Why I stopped using ____ and used ____ instead
,This ___ I found is everything!
,"Don't buy ____, buy this!"
,This ___ is my holy grail
,My go to ____ for _____
,I tested every ____ so you don't have to
,What I asked for vs. what I got
,You need this in your life!
,Things that tiktok made me buy
,I just got my ___ and I'm so excited.
,Estos ____ its a gamechanger
,I can't believe I found a ____ that actually ____
,I keep seeing these ____ all over my feed so I had to try them
,I'm obsessed with my new ____ and here's why
,____ is the only product I use for ____
,I've been looking for the best ____ out there
,I tried ____ so you don't have to
,These almost never go on sale.
,This ____ makes the perfect gift for ____
,I ordered this ____ which went viral on tiktok
,I finally got this _____ everyone is talking about
,"Best tiktok shopping finds, ____ edition"
,Things in my daily routine
,I've tried tons of ____ and these are by far the best I've found
,I would cry if someone gave me this.
,Listen to me…
,Things you won't regret buying
,Breaking news!
,The ____ you didn't know you needed
,The best ___ I've ever used is ____ and here's why
,I don't know who needs to hear this but…
,you will never believe it
,Someone needs to say it
,Why doesn't anyone talk about this?
,I need your help
,Do not panic! Let's talk about ___
,"Guys, I was speechless when ___"
,"This is going to be controversial, but…"
,I want to show you something
,I wish I knew this sooner!
,I can't keep this to myself anymore!
,This is a gamechanger
,"We don't realize here, so I'm sharing…"
,This will blow your mind
,You need to stop doing what you're doing because
,"I wanted to see this, but it's too good not to share."
,I promise you've never seen anything like this before
,You don't want to miss this!
,Story time!
,You need to stop doing this!
,Quick reminder!
,Is it just me or ____
,I bet you didn't know this!
,___ People stop moving!
,Hey you! Why are you still ____?
,"This is for ____, so if it's not you, keep scrolling"
,"Wait! Don't go anywhere, I want to show you something"
,One thing about me is ____
,Things worth every penny
,Does this happen to you too?
,"We agreed, right? No more on call"
,Warning! I'm about to be brutally honest
,"I've never told anyone this before, but ____"
,"Unpopular opinion, but ____"
,Let's talk about ____
,I think I'm the only one on this planet who ____
,What happens if I tell you that ____?
,I'm about to answer the best questions you always ask me.
,I realised that ____
,Honest talk. Here is my opinion on _____
,Steal my strategy/technique ____
,This just happened!
,It feels illegal to know this!
,3 red flags when you choose a ____
,The only secret to finally ____
,Do this instead of ____
,3 secrets ____ doesn't want you to know about
,5 Tools You Need to ____
,Here's a secret that others ____ don't tell you
,3 reasons why you need ___
,The most underrated ___
,Everything you know about ____ is wrong!
,You won't believe these ____ myths
,My best advice for
,The easiest way to ____
,Follow this step-by-step process to successfully ____ ____
,Why you should ___
,3 things I wish I knew before ____
,The step-by-step guide to ____
,This is the truth about ____
,3 little-known steps to get _____
,Don't make this mistake by doing ____
,Curious facts about ____
,Things I know at 32 that I wish I knew at 27
,An often overlooked part of ____ is ____
,What is the difference between ____ and _____?
,3 tips you can apply immediately to get ____
,If I could go back to ____ this is what I would do differently
,"If you want your ____ to do ____, you have to ____"
,Mind-blowing fact: ______
,This is what it does with _____ (and it's not what you think it is)
,This is the only real way to ____
,"What do ___, _____ and ____ have in common?"
,"If you have been told that the only way to ___ is ___, you have been lied to."
,3 Ways I Increased My ____ by x% and How You Can Too
,This trick from the x years for ____ still works
,"If you are ____ not ____, you are doing it wrong"
,How to convert ___ to ____
,Early warning signs of ____
,I'm not sure of ____? Try this
,"When ____, what happens to ___?"
,X Annoying truths I don't want to forget
,How to ____ from scratch
,The biggest misconception about ___ is ____
,What you see vs. what you don't
,3 ____ lessons I wish I had learned sooner
,"The good, the bad and the ugly of ____"
,This is what I want everyone to know about _____
,Lies that the industry has been telling you
,Day in the life as a _____
,[Use a response sticker]
,The math behind why _____
,POV: When ____
,Everyone says you should ____ but no one is showing you how
,My toxic trait is ____
,Come with me to _____
,Brace yourself with me as I tell you about ____
,Prepare with me for ____
,Behind the scene of ____
,"If you've ever ___, check this out!"
,Let me tell you about the time when ____
,This video is for those who ____
,If ____ keeps looking
,"If there's one thing my mother taught me about ____, it's ____"
,Let me tell you the story of how ___
,This is your sign of ____
,This is the only thing you need to know about ____
,This is a reminder to do ____
,What would you do if ____?
,Have you ever ___?
,You're crazy if you don't ___
,"Hello, I am ____ and I _____"
,What you see vs. what you don't
,How I went from this to this in just ____
,It's okay ____ if necessary
,The industry ____ 5 years ago vs. today
,What most people think versus reality
,If you're like me and you ____ then you need to see this
,Top 5 ideas for ___
